add to worksheet,,,,,,,,,,,,,,,,,,,
PRST-Professional Studies,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,12114,PRST,3010,D01,24M,3,Prior Learning Assessment,,TBA,25,20,5,0,0,0,Catherine Ann Delametter (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,17583,PRST,3010,D03,24M,3,Prior Learning Assessment,,TBA,20,7,13,0,0,0,John T Little (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
,,,,,,,,T,06:00 pm-09:00 pm,,,,,,,John T Little (P),01/24-01/24,COE 150,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
,,,,,,,,T,06:00 pm-09:00 pm,,,,,,,John T Little (P),02/21-02/21,COE 150,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
add to worksheet,14902,PRST,3010,D04,24M,3,Prior Learning Assessment,,TBA,25,0,25,0,0,0,Catherine Ann Delametter (P),03/20-05/04,TBA TBA,Accelerated 2 Part of term and Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,13325,PRST,3030,2,24M,1,(EXL) Senior Career Development Seminar,W,12:40 pm-01:35 pm,15,16,-1,0,0,0,Dianna Zeh Rust (P),01/17-05/04,KOM 122,Experiential Learning and Credit from 4-Year College and Upper-Division Work
C,14498,PRST,3030,4,24M,1,Senior Career Development Seminar,TR,02:40 pm-03:35 pm,15,17,-2,0,0,0,Katherine Irons Creel (P),03/20-05/04,COE 107,Accelerated 2 Part of term and Credit from 4-Year College and Upper-Division Work
C,12815,PRST,3995,D01,24M,3,Research and Project Planning,,TBA,15,15,0,0,0,0,Carla Gale Hatfield (P),01/17-03/03,TBA TBA,Accelerated 1 Part of term and Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,13001,PRST,3995,D02,24M,3,Research and Project Planning,,TBA,15,15,0,0,0,0,Carla Gale Hatfield (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,17297,PRST,3995,D03,24M,3,Research and Project Planning,,TBA,15,14,1,0,0,0,Carla Gale Hatfield (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,13327,PRST,4010,1,24M,3,Senior Capstone,TR,09:40 am-11:05 am,15,15,0,0,0,0,Dianna Zeh Rust (P),01/17-05/04,KOM 122,Credit from 4-Year College and Upper-Division Work
C,13935,PRST,4010,2,24M,3,Senior Capstone,TR,01:00 pm-02:25 pm,15,15,0,0,0,0,Dianna Zeh Rust (P),01/17-05/04,KOM 122,Credit from 4-Year College and Upper-Division Work
NR,15234,PRST,4010,3,24M,3,Senior Capstone,MW,02:20 pm-03:45 pm,15,11,4,0,0,0,Timothy Scott Nelson (P),01/17-05/04,KOM 105,Credit from 4-Year College and Upper-Division Work
NR,12559,PRST,4995,D01,24M,3,Culminating Project,,TBA,16,14,2,0,0,0,Pamela Christine McCluney (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
,,,,,,,,R,12:00 pm-02:00 pm,,,,,,,Pamela Christine McCluney (P),01/19-01/19,CKNB N252,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
,,,,,,,,R,12:00 pm-02:00 pm,,,,,,,Pamela Christine McCluney (P),02/16-02/16,CKNB N252,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
,,,,,,,,R,12:00 pm-02:00 pm,,,,,,,Pamela Christine McCluney (P),03/16-03/16,CKNB N252,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,12560,PRST,4995,D02,24M,3,Culminating Project,,TBA,16,16,0,0,0,0,Timothy Scott Nelson (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
,,,,,,,,M,04:00 pm-06:00 pm,,,,,,,Timothy Scott Nelson (P),01/23-01/23,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
,,,,,,,,M,04:00 pm-06:00 pm,,,,,,,Timothy Scott Nelson (P),02/27-02/27,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
,,,,,,,,M,04:00 pm-06:00 pm,,,,,,,Timothy Scott Nelson (P),04/10-04/10,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,13100,PRST,4995,D03,24M,3,Culminating Project,,TBA,16,16,0,0,0,0,Timothy Scott Nelson (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
,,,,,,,,W,05:00 pm-07:00 pm,,,,,,,Timothy Scott Nelson (P),01/25-01/25,COE 146,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
,,,,,,,,W,05:00 pm-07:00 pm,,,,,,,Timothy Scott Nelson (P),02/22-02/22,COE 146,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
,,,,,,,,W,05:00 pm-07:00 pm,,,,,,,Timothy Scott Nelson (P),03/22-03/22,COE 146,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
,,,,,,,,W,05:00 pm-07:00 pm,,,,,,,Timothy Scott Nelson (P),04/19-04/19,COE 146,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,14456,PRST,4995,D04,24M,3,Culminating Project,,TBA,16,16,0,0,0,0,Pamela Christine McCluney (P),03/20-05/04,TBA TBA,Accelerated 2 Part of term and Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,17046,PRST,4995,D05,24M,3,Culminating Project,,TBA,16,16,0,0,0,0,David A Otts (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,17047,PRST,4995,D06,24M,3,Culminating Project,,TBA,16,15,1,0,0,0,Pamela Christine McCluney (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,17048,PRST,4995,D07,24M,3,Culminating Project,,TBA,16,16,0,0,0,0,Pamela Christine McCluney (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,17049,PRST,4995,D08,24M,3,Culminating Project,,TBA,16,14,2,0,0,0,Pamela Christine McCluney (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,17050,PRST,4995,D09,24M,3,Culminating Project,,TBA,16,17,-1,0,0,0,Carla Gale Hatfield (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,17054,PRST,4995,D11,24M,3,Culminating Project,,TBA,16,16,0,0,0,0,Pamela Duke Morris (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,17055,PRST,4995,D12,24M,3,Culminating Project,,TBA,16,14,2,0,0,0,Pamela Duke Morris (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,17056,PRST,4995,D13,24M,3,Culminating Project,,TBA,16,16,0,0,0,0,Ryan L Korstange (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,17057,PRST,4995,D14,24M,3,Culminating Project,,TBA,16,15,1,0,0,0,David A Otts (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
NR,17298,PRST,4995,D15,24M,3,Culminating Project,,TBA,16,15,1,0,0,0,Timothy Scott Nelson (P),01/17-05/04,TBA TBA,Distance Learning and Distance Education Fee-UG and Credit from 4-Year College and Upper-Division Work
C,12381,PRST,6040,R50,45R,3,Human Resources Management,,TBA,0,8,-8,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP)
C,12018,PRST,6100,R50,24R,3,Professional Studies Issues and Ethics,,TBA,0,4,-4,0,0,0,"RODP Faculty (P), Vickie L Montgomery",01/17-05/03,TBA TBA,TN eCampus (formerly RODP)
C,12797,PRST,6105,R50,11R,3,Project Planning and Scheduling,,TBA,0,4,-4,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP)
C,12020,PRST,6200,R50,50R,3,Globalization and Professional,,TBA,0,8,-8,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP)
C,12021,PRST,6300,R50,23R,3,Research Methods,,TBA,0,3,-3,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP)
C,12382,PRST,6310,R50,45R,3,Leadership in Organization,,TBA,0,8,-8,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP)
C,12551,PRST,6400,R50,24R,3,Instructional Design for Training and Development,,TBA,0,3,-3,0,0,0,"RODP Faculty (P), Vincent W Smith",01/17-05/03,TBA TBA,TN eCampus (formerly RODP)
C,12388,PRST,6410,R50,50R,3,Evaluation of Learning,,TBA,0,2,-2,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP)
C,12552,PRST,6450,R50,24R,3,Computer Based Technologies for eTraining,,TBA,0,3,-3,0,0,0,"RODP Faculty (P), Ronda Gerice Henderson",01/17-05/03,TBA TBA,TN eCampus (formerly RODP)
C,12553,PRST,6470,R50,11R,3,Facilitation of Learning,,TBA,0,1,-1,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP)
C,12383,PRST,6500,R50,23R,3,Foundations of Leadership,,TBA,0,7,-7,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP)
C,12218,PRST,6600,R50,50R,3,Statistical Analysis,,TBA,0,8,-8,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP)
C,12384,PRST,6700,R50,50R,3,Conflict Management and Negotiation,,TBA,0,11,-11,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP)
C,12219,PRST,6770,R50,24R,3,Computer-Based Decision Modeling,,TBA,0,2,-2,0,0,0,"RODP Faculty (P), Vickie L Montgomery",01/17-05/03,TBA TBA,TN eCampus (formerly RODP)
C,12223,PRST,6800,R50,24R,3,Organizational Skills and Development,,TBA,0,6,-6,0,0,0,"RODP Faculty (P), Steven D Jones",01/17-05/03,TBA TBA,TN eCampus (formerly RODP)
C,13728,PRST,6910,R50,45R,3,Employment and Human Resources Law,,TBA,0,7,-7,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP) and Credit from 4-Year College
C,12566,PRST,6920,R50,11R,3,Diversity in the Workplace,,TBA,0,5,-5,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP)
C,14882,PRST,6930,R50,45R,3,Compensation and Benefits,,TBA,0,3,-3,0,0,0,RODP Faculty (P),01/17-05/03,TBA,TN eCampus (formerly RODP)
C,14883,PRST,6940,R50,50R,3,"Recruitment, Selection, and Retention",,TBA,0,5,-5,0,0,0,RODP Faculty (P),01/17-05/03,TBA TBA,TN eCampus (formerly RODP)
C,12022,PRST,6998,R50,11R,3,Professional Project,,TBA,0,8,-8,0,0,0,"RODP Faculty (P), Pamela Duke Morris",01/17-05/03,TBA TBA,TN eCampus (formerly RODP)
